"fixture","executor","tier","adapter","entities","render lanes","contacts","predicate matches","simulation p95 ms","transport p95 ms","pack p95 ms","adapter p95 ms","end-to-end p95 margin ms","peak memory bytes","last successful plateau","outcome","failure class","revision"
"bullets-100k","interpreter-wasm","byo-transport","none","0","0","0","0","","","","","","","10000","bounded-failure","wasm-trap","574c25e8a98ef3d04bbea7fad248f1c37068c4d5"
"bullets-100k","interpreter-wasm","host-draw","web-canvas2d","0","0","0","0","","","","","","","10000","bounded-failure","wasm-trap","574c25e8a98ef3d04bbea7fad248f1c37068c4d5"
"bullets-100k","interpreter-native","host-draw","native-macroquad-compat","0","0","0","0","","","","","","","1000","bounded-failure","adapter-timeout","574c25e8a98ef3d04bbea7fad248f1c37068c4d5"
"bullets-100k","interpreter-wasm","simulation-only","none","0","0","0","0","","","","","","","10000","bounded-failure","wasm-trap","574c25e8a98ef3d04bbea7fad248f1c37068c4d5"
"bullets-100k","interpreter-wasm","touhou-pack","none","0","0","0","0","","","","","","","10000","bounded-failure","wasm-trap","574c25e8a98ef3d04bbea7fad248f1c37068c4d5"
"bullets-10k","interpreter-native","host-draw","native-macroquad-compat","0","0","0","0","","","","","","","1000","bounded-failure","adapter-timeout","574c25e8a98ef3d04bbea7fad248f1c37068c4d5"
"bullets-1m","interpreter-wasm","byo-transport","none","0","0","0","0","","","","","","","100000","bounded-failure","memory-limit-preflight","574c25e8a98ef3d04bbea7fad248f1c37068c4d5"
"bullets-1m","interpreter-native","byo-transport","none","0","0","0","0","","","","","","","100000","bounded-failure","memory-limit-preflight","574c25e8a98ef3d04bbea7fad248f1c37068c4d5"
"bullets-1m","interpreter-wasm","host-draw","web-canvas2d","0","0","0","0","","","","","","","1000","bounded-failure","adapter-ceiling","574c25e8a98ef3d04bbea7fad248f1c37068c4d5"
"bullets-1m","interpreter-native","host-draw","native-macroquad-compat","0","0","0","0","","","","","","","1000","bounded-failure","adapter-timeout","574c25e8a98ef3d04bbea7fad248f1c37068c4d5"
"bullets-1m","interpreter-wasm","simulation-only","none","0","0","0","0","","","","","","","100000","bounded-failure","memory-limit-preflight","574c25e8a98ef3d04bbea7fad248f1c37068c4d5"
"bullets-1m","interpreter-native","simulation-only","none","0","0","0","0","","","","","","","100000","bounded-failure","memory-limit-preflight","574c25e8a98ef3d04bbea7fad248f1c37068c4d5"
"bullets-1m","interpreter-wasm","touhou-pack","none","0","0","0","0","","","","","","","100000","bounded-failure","memory-limit-preflight","574c25e8a98ef3d04bbea7fad248f1c37068c4d5"
"bullets-1m","interpreter-native","touhou-pack","none","0","0","0","0","","","","","","","100000","bounded-failure","memory-limit-preflight","574c25e8a98ef3d04bbea7fad248f1c37068c4d5"
"collision-capsule-chain-controlled-ceiling","interpreter-wasm","byo-transport","none","0","0","0","0","","","","","","","1000","bounded-failure","ceiling-timeout","574c25e8a98ef3d04bbea7fad248f1c37068c4d5"
"collision-capsule-chain-controlled-ceiling","interpreter-native","byo-transport","none","0","0","0","0","","","","","","","1000","bounded-failure","ceiling-timeout","574c25e8a98ef3d04bbea7fad248f1c37068c4d5"
"collision-capsule-chain-controlled-ceiling","interpreter-wasm","simulation-only","none","0","0","0","0","","","","","","","1000","bounded-failure","ceiling-timeout","574c25e8a98ef3d04bbea7fad248f1c37068c4d5"
"collision-capsule-chain-controlled-ceiling","interpreter-native","simulation-only","none","0","0","0","0","","","","","","","1000","bounded-failure","ceiling-timeout","574c25e8a98ef3d04bbea7fad248f1c37068c4d5"
"collision-capsule-chain-controlled-ceiling","interpreter-wasm","touhou-pack","none","0","0","0","0","","","","","","","1000","bounded-failure","ceiling-timeout","574c25e8a98ef3d04bbea7fad248f1c37068c4d5"
"collision-capsule-chain-controlled-ceiling","interpreter-native","touhou-pack","none","0","0","0","0","","","","","","","1000","bounded-failure","ceiling-timeout","574c25e8a98ef3d04bbea7fad248f1c37068c4d5"
"collision-capsule-chain-dense-ceiling","interpreter-wasm","byo-transport","none","0","0","0","0","","","","","","","1000","bounded-failure","ceiling-timeout","574c25e8a98ef3d04bbea7fad248f1c37068c4d5"
"collision-capsule-chain-dense-ceiling","interpreter-native","byo-transport","none","0","0","0","0","","","","","","","1000","bounded-failure","ceiling-timeout","574c25e8a98ef3d04bbea7fad248f1c37068c4d5"
"collision-capsule-chain-dense-ceiling","interpreter-wasm","simulation-only","none","0","0","0","0","","","","","","","1000","bounded-failure","ceiling-timeout","574c25e8a98ef3d04bbea7fad248f1c37068c4d5"
"collision-capsule-chain-dense-ceiling","interpreter-native","simulation-only","none","0","0","0","0","","","","","","","1000","bounded-failure","ceiling-timeout","574c25e8a98ef3d04bbea7fad248f1c37068c4d5"
"collision-capsule-chain-dense-ceiling","interpreter-wasm","touhou-pack","none","0","0","0","0","","","","","","","1000","bounded-failure","ceiling-timeout","574c25e8a98ef3d04bbea7fad248f1c37068c4d5"
"collision-capsule-chain-dense-ceiling","interpreter-native","touhou-pack","none","0","0","0","0","","","","","","","1000","bounded-failure","ceiling-timeout","574c25e8a98ef3d04bbea7fad248f1c37068c4d5"
"collision-capsule-chain-none-ceiling","interpreter-wasm","byo-transport","none","0","0","0","0","","","","","","","1000","bounded-failure","ceiling-timeout","574c25e8a98ef3d04bbea7fad248f1c37068c4d5"
"collision-capsule-chain-none-ceiling","interpreter-native","byo-transport","none","0","0","0","0","","","","","","","1000","bounded-failure","ceiling-timeout","574c25e8a98ef3d04bbea7fad248f1c37068c4d5"
"collision-capsule-chain-none-ceiling","interpreter-wasm","simulation-only","none","0","0","0","0","","","","","","","1000","bounded-failure","ceiling-timeout","574c25e8a98ef3d04bbea7fad248f1c37068c4d5"
"collision-capsule-chain-none-ceiling","interpreter-native","simulation-only","none","0","0","0","0","","","","","","","1000","bounded-failure","ceiling-timeout","574c25e8a98ef3d04bbea7fad248f1c37068c4d5"
"collision-capsule-chain-none-ceiling","interpreter-wasm","touhou-pack","none","0","0","0","0","","","","","","","1000","bounded-failure","ceiling-timeout","574c25e8a98ef3d04bbea7fad248f1c37068c4d5"
"collision-capsule-chain-none-ceiling","interpreter-native","touhou-pack","none","0","0","0","0","","","","","","","1000","bounded-failure","ceiling-timeout","574c25e8a98ef3d04bbea7fad248f1c37068c4d5"
"collision-capsule-chain-sparse-ceiling","interpreter-wasm","byo-transport","none","0","0","0","0","","","","","","","1000","bounded-failure","ceiling-timeout","574c25e8a98ef3d04bbea7fad248f1c37068c4d5"
"collision-capsule-chain-sparse-ceiling","interpreter-native","byo-transport","none","0","0","0","0","","","","","","","1000","bounded-failure","ceiling-timeout","574c25e8a98ef3d04bbea7fad248f1c37068c4d5"
